investor_name,issuer,rank,cusip,value,weight
"Appaloosa LP","META PLATFORMS INC",1,30303M102,654826000,11.3077
"Appaloosa LP","MICROSOFT CORP",2,594918104,639268000,11.0390
"Appaloosa LP","AMAZON COM INC",3,023135106,600163000,10.3637
"Appaloosa LP","NVIDIA CORPORATION",4,67066G104,391223800,6.7557
"Appaloosa LP","UBER TECHNOLOGIES INC",5,90353T100,369420000,6.3792
"Appaloosa LP","ALIBABA GROUP HLDG LTD",6,01609W102,337168500,5.8223
"Appaloosa LP","ALPHABET INC",7,02079K107,324139000,5.5973
"Appaloosa LP","ADVANCED MICRO DEVICES INC",8,007903107,296294100,5.1165
"Appaloosa LP","INTEL CORP",9,458140100,231150000,3.9915
"Appaloosa LP","FEDEX CORP",10,31428X106,164430500,2.8394
"Appaloosa LP","QUALCOMM INC",11,747525103,144630000,2.4975
"Appaloosa LP","ORACLE CORP",12,68389X105,139694750,2.4123
"Appaloosa LP","ENERGY TRANSFER L P",13,29273V100,134989889,2.3310
"Appaloosa LP","ARK ETF TR",14,00214Q104,133543500,2.3061
"Appaloosa LP","PDD HOLDINGS INC",15,722304102,113390250,1.9580
"Appaloosa LP","CAESARS ENTERTAINMENT INC NE",16,12769G100,105480000,1.8215
"Appaloosa LP","UNITEDHEALTH GROUP INC",17,91324P102,105294000,1.8182
"Appaloosa LP","MICRON TECHNOLOGY INC",18,595112103,103688100,1.7905
"Appaloosa LP","LAM RESEARCH CORP",19,512807108,92424680,1.5960
"Appaloosa LP","MACYS INC",20,55616P104,89534000,1.5461
"Appaloosa LP","EQT CORP",21,26884L109,79639600,1.3752
"Appaloosa LP","UNITED PARCEL SERVICE INC",22,911312106,78615000,1.3575
"Appaloosa LP","BAIDU INC",23,056752108,74431250,1.2853
"Appaloosa LP","ASML HOLDING N V",24,N07059210,60553600,1.0457
"Appaloosa LP","TAIWAN SEMICONDUCTOR MFG LTD",25,874039100,52000000,0.8979
"Appaloosa LP","ANTERO RESOURCES CORP",26,03674X106,45360000,0.7833
"Appaloosa LP","CHESAPEAKE ENERGY CORP",27,165167735,40744820,0.7036
"Appaloosa LP","HCA HEALTHCARE INC",28,40412C101,31723155,0.5478
"Appaloosa LP","SOUTHWESTERN ENERGY CO",29,845467109,31440000,0.5429
"Appaloosa LP","KE HLDGS INC",30,482497104,27638050,0.4773
"Appaloosa LP","MPLX LP",31,55336V100,24235200,0.4185
"Appaloosa LP","FMC CORP",32,302491303,20491250,0.3538
"Appaloosa LP","WHIRLPOOL CORP",33,963320106,10959300,0.1892
"Appaloosa LP","NORFOLK SOUTHN CORP",34,655844108,10637100,0.1837
"Appaloosa LP","MOHAWK INDS INC",35,608190104,9832500,0.1698
"Appaloosa LP","GENERAL MTRS CO",36,37045V100,9518800,0.1644
"Appaloosa LP","MASCO CORP",37,574599106,8707400,0.1504
"Appaloosa LP","OWENS CORNING NEW",38,690742101,3705750,0.0640
