investor_name,issuer,rank,cusip,value,weight
"Baupost Group LLC","LIBERTY GLOBAL LTD",1,G61188127,916519,19.9893
"Baupost Group LLC","LIBERTY MEDIA CORP DEL",2,531229789,758723,16.5478
"Baupost Group LLC","VIASAT INC",3,92552V100,452087,9.8601
"Baupost Group LLC","ALPHABET INC",4,02079K107,415678,9.0660
"Baupost Group LLC","FIDELITY NATL INFORMATION SV",5,31620M106,382088,8.3334
"Baupost Group LLC","WILLIS TOWERS WATSON PLC LTD",6,G96629103,375227,8.1837
"Baupost Group LLC","WARNER BROS DISCOVERY INC",7,934423104,287175,6.2633
"Baupost Group LLC","CLARIVATE PLC",8,G21810109,236130,5.1500
"Baupost Group LLC","CRH PLC",9,G25508105,231378,5.0464
"Baupost Group LLC","JAZZ PHARMACEUTICALS PLC",10,G50871105,102545,2.2365
"Baupost Group LLC","JACOBS SOLUTIONS INC",11,46982L108,94467,2.0603
"Baupost Group LLC","THERAVANCE BIOPHARMA INC",12,G8807B106,83392,1.8188
"Baupost Group LLC","TOWER SEMICONDUCTOR LTD",13,M87915274,82735,1.8045
"Baupost Group LLC","SS&C TECHNOLOGIES HLDGS INC",14,78467J100,62854,1.3709
"Baupost Group LLC","GRAY TELEVISION INC",15,389375106,33690,0.7348
"Baupost Group LLC","GARRETT MOTION INC",16,366505105,28955,0.6315
"Baupost Group LLC","HERBALIFE LTD",17,G4412G101,25634,0.5591
"Baupost Group LLC","ALTICE USA INC",18,02156K103,15517,0.3384
"Baupost Group LLC","FINCH THERAPEUTICS GROUP INC",19,31773D200,243,0.0053
