investor_name,issuer,rank,cusip,value,weight
"Berkshire Hathaway Inc","APPLE INC",1,037833100,174347466800,50.1924
"Berkshire Hathaway Inc","BANK AMER CORP",2,060505104,34776127042,10.0116
"Berkshire Hathaway Inc","AMERICAN EXPRESS CO",3,025816109,28402748537,8.1768
"Berkshire Hathaway Inc","COCA COLA CO",4,191216100,23572000000,6.7861
"Berkshire Hathaway Inc","CHEVRON CORP NEW",5,166764100,18808080506,5.4146
"Berkshire Hathaway Inc","OCCIDENTAL PETE CORP",6,674599105,14552270657,4.1894
"Berkshire Hathaway Inc","KRAFT HEINZ CO",7,500754106,12041975570,3.4667
"Berkshire Hathaway Inc","MOODYS CORP",8,615369105,9635028496,2.7738
"Berkshire Hathaway Inc","DAVITA INC",9,23918K108,3781371913,1.0886
"Berkshire Hathaway Inc","LIBERTY MEDIA CORP DEL",10,531229854,2912716812,0.8385
"Berkshire Hathaway Inc","CITIGROUP INC",11,172967424,2841792358,0.8181
"Berkshire Hathaway Inc","VERISIGN INC",12,92343E102,2639503654,0.7599
"Berkshire Hathaway Inc","KROGER CO",13,501044101,2285500000,0.6580
"Berkshire Hathaway Inc","VISA INC",14,92826C839,2160243711,0.6219
"Berkshire Hathaway Inc","MASTERCARD INC",15,57636Q104,1700345238,0.4895
"Berkshire Hathaway Inc","CAPITAL ONE FINL CORP",16,14040H105,1635201454,0.4708
"Berkshire Hathaway Inc","AMAZON COM INC",17,023135106,1519400000,0.4374
"Berkshire Hathaway Inc","CHARTER COMMUNICATIONS INC N",18,16119P108,1488232788,0.4284
"Berkshire Hathaway Inc","SNOWFLAKE INC",19,833445109,1218949824,0.3509
"Berkshire Hathaway Inc","AON PLC",20,G0403H108,1193182000,0.3435
"Berkshire Hathaway Inc","ALLY FINL INC",21,02005N100,1012680000,0.2915
"Berkshire Hathaway Inc","PARAMOUNT GLOBAL",22,92556H206,936539643,0.2696
"Berkshire Hathaway Inc","NU HLDGS LTD",23,G6683N103,892299471,0.2569
"Berkshire Hathaway Inc","T-MOBILE US INC",24,872590104,840449860,0.2420
"Berkshire Hathaway Inc","HP INC",25,40434L105,687638195,0.1980
"Berkshire Hathaway Inc","FLOOR & DECOR HLDGS INC",26,339750101,533256800,0.1535
"Berkshire Hathaway Inc","LOUISIANA PAC CORP",27,546347105,498990904,0.1437
"Berkshire Hathaway Inc","SIRIUS XM HOLDINGS INC",28,82968B103,220129527,0.0634
"Berkshire Hathaway Inc","NVR INC",29,62944T105,77789000,0.0224
"Berkshire Hathaway Inc","DIAGEO P L C",30,25243Q205,33174065,0.0096
"Berkshire Hathaway Inc","LIBERTY LATIN AMERICA LTD",31,G9001E128,28655796,0.0082
"Berkshire Hathaway Inc","LENNAR CORP",32,526057302,20452277,0.0059
"Berkshire Hathaway Inc","VANGUARD INDEX FDS",33,922908363,18782400,0.0054
"Berkshire Hathaway Inc","SPDR S&P 500 ETF TR",34,78462F103,18727214,0.0054
"Berkshire Hathaway Inc","JEFFERIES FINL GROUP INC",35,47233W109,17520079,0.0050
"Berkshire Hathaway Inc","ATLANTA BRAVES HLDGS INC",36,047726302,8851870,0.0025
