investor_name,issuer,rank,cusip,value,weight
"Capital Research Global Investors","MICROSOFT CORP",1,594918104,29405815544,7.2344
"Capital Research Global Investors","BROADCOM INC",2,11135F101,19880944108,4.8911
"Capital Research Global Investors","AMAZON COM INC",3,023135106,12181505687,2.9969
"Capital Research Global Investors","ALPHABET INC",4,02079K305,11972972770,2.9456
"Capital Research Global Investors","META PLATFORMS INC",5,30303M102,10695721818,2.6314
"Capital Research Global Investors","GENERAL ELECTRIC CO",6,369604301,10604568047,2.6089
"Capital Research Global Investors","ABBOTT LABS",7,002824100,9530825115,2.3448
"Capital Research Global Investors","UNITEDHEALTH GROUP INC",8,91324P102,7961369476,1.9587
"Capital Research Global Investors","RTX CORPORATION",9,75513E101,7608822464,1.8719
"Capital Research Global Investors","APPLE INC",10,037833100,6108737458,1.5029
"Capital Research Global Investors","MASTERCARD INCORPORATED",11,57636Q104,5803956332,1.4279
"Capital Research Global Investors","PHILIP MORRIS INTL INC",12,718172109,5495793771,1.3521
"Capital Research Global Investors","CANADIAN NAT RES LTD",13,136385101,5468347303,1.3453
"Capital Research Global Investors","CARRIER GLOBAL CORPORATION",14,14448C104,5333083828,1.3120
"Capital Research Global Investors","HOME DEPOT INC",15,437076102,5117015678,1.2589
"Capital Research Global Investors","GILEAD SCIENCES INC",16,375558103,4832824186,1.1890
"Capital Research Global Investors","ABBVIE INC",17,00287Y109,4696001781,1.1553
"Capital Research Global Investors","TEXAS INSTRS INC",18,882508104,4676681426,1.1506
"Capital Research Global Investors","ELI LILLY & CO",19,532457108,4417119519,1.0867
"Capital Research Global Investors","BOEING CO",20,097023105,4400109027,1.0825
"Capital Research Global Investors","LINDE PLC",21,G54950103,4263589466,1.0489
"Capital Research Global Investors","THERMO FISHER SCIENTIFIC INC",22,883556102,4240823714,1.0433
"Capital Research Global Investors","MERCADOLIBRE INC",23,58733R102,4128602743,1.0157
"Capital Research Global Investors","GE HEALTHCARE TECHNOLOGIES I",24,36266G107,3969974735,0.9767
"Capital Research Global Investors","ROYAL CARIBBEAN GROUP",25,V7780T103,3854376045,0.9483
"Capital Research Global Investors","UNITED RENTALS INC",26,911363109,3669805647,0.9028
"Capital Research Global Investors","INTEL CORP",27,458140100,3468658066,0.8534
"Capital Research Global Investors","EOG RES INC",28,26875P101,3449060618,0.8485
"Capital Research Global Investors","NETFLIX INC",29,64110L106,3323511940,0.8177
"Capital Research Global Investors","NVIDIA CORPORATION",30,67066G104,3285182801,0.8082
"Capital Research Global Investors","BLACKROCK INC",31,09247X101,3181346063,0.7827
"Capital Research Global Investors","STRYKER CORPORATION",32,863667101,3056131717,0.7519
"Capital Research Global Investors","SALESFORCE INC",33,79466L302,2981908441,0.7336
"Capital Research Global Investors","SHOPIFY INC",34,82509L107,2980343420,0.7332
"Capital Research Global Investors","ACCENTURE PLC IRELAND",35,G1151C101,2975516932,0.7320
"Capital Research Global Investors","AMERICAN INTL GROUP INC",36,026874784,2829930144,0.6962
"Capital Research Global Investors","COMCAST CORP NEW",37,20030N101,2697162158,0.6636
"Capital Research Global Investors","FREEPORT-MCMORAN INC",38,35671D857,2543675748,0.6258
"Capital Research Global Investors","MICRON TECHNOLOGY INC",39,595112103,2455341070,0.6041
"Capital Research Global Investors","SERVICENOW INC",40,81762P102,2405999752,0.5919
"Capital Research Global Investors","MEDTRONIC PLC",41,G5960L103,2375864998,0.5845
"Capital Research Global Investors","JPMORGAN CHASE & CO",42,46625H100,2372499483,0.5837
"Capital Research Global Investors","ADOBE INC",43,00724F101,2322220803,0.5713
