investor_name,issuer,rank,cusip,value,weight
"Greenlight Capital Inc","GREEN BRICK PARTNERS INC",1,392709101,592369623,28.9243
"Greenlight Capital Inc","CONSOL ENERGY INC NEW",2,20854L108,211673655,10.3356
"Greenlight Capital Inc","BRIGHTHOUSE FINL INC",3,10922N103,161068530,7.8647
"Greenlight Capital Inc","KYNDRYL HLDGS INC",4,50155Q100,132079115,6.4492
"Greenlight Capital Inc","TENET HEALTHCARE CORP",5,88033G407,99447853,4.8559
"Greenlight Capital Inc","THE ODP CORP",6,88337F105,98418030,4.8056
"Greenlight Capital Inc","ALIGHT INC",7,01626W101,78831446,3.8492
"Greenlight Capital Inc","SPDR GOLD TR",8,78463V107,73972084,3.6119
"Greenlight Capital Inc","TECK RESOURCES LTD",9,878742204,65605702,3.2034
"Greenlight Capital Inc","LIVANOVA PLC",10,G5509L101,63604811,3.1057
"Greenlight Capital Inc","GRAPHIC PACKAGING HLDG CO",11,388689101,62514865,3.0525
"Greenlight Capital Inc","WEATHERFORD INTL PLC",12,G48833118,44669667,2.1811
"Greenlight Capital Inc","DHT HOLDINGS INC",13,Y2065G121,37080623,1.8106
"Greenlight Capital Inc","VIATRIS INC",14,92556V106,36342990,1.7746
"Greenlight Capital Inc","FIRST CTZNS BANCSHARES INC N",15,31946M103,35218836,1.7197
"Greenlight Capital Inc","NET POWER INC",16,64107A105,30220311,1.4756
"Greenlight Capital Inc","GULFPORT ENERGY CORP",17,402635502,29699604,1.4502
"Greenlight Capital Inc","SEADRILL 2021 LTD",18,G7997W102,25717246,1.2557
"Greenlight Capital Inc","HERC HLDGS INC",19,42704L104,20190973,0.9859
"Greenlight Capital Inc","FIRST HORIZON CORPORATION",20,320517105,19499594,0.9521
"Greenlight Capital Inc","NEW YORK CMNTY BANCORP INC",21,649445103,18707908,0.9135
"Greenlight Capital Inc","AERCAP HOLDINGS NV",22,N00985106,18580000,0.9072
"Greenlight Capital Inc","SPDR SER TR",23,78464A631,17559506,0.8574
"Greenlight Capital Inc","INVESCO EXCHANGE TRADED FD T",24,46137V100,17097615,0.8348
"Greenlight Capital Inc","KENVUE INC",25,49177J102,11938170,0.5829
"Greenlight Capital Inc","GOPRO INC",26,38268T103,9796156,0.4783
"Greenlight Capital Inc","COYA THERAPEUTICS INC",27,22407B108,9440533,0.4610
"Greenlight Capital Inc","GALAPAGOS NV",28,36315X101,6608796,0.3227
"Greenlight Capital Inc","SOTERA HEALTH CO",29,83601L102,5677944,0.2772
"Greenlight Capital Inc","VANECK ETF TRUST",30,92189H607,2869251,0.1401
"Greenlight Capital Inc","TEVA PHARMACEUTICAL INDS LTD",31,881624209,2802826,0.1369
"Greenlight Capital Inc","DANIMER SCIENTIFIC INC",32,236272100,2789272,0.1362
"Greenlight Capital Inc","GAIN THERAPEUTICS INC",33,36269B105,1921158,0.0938
"Greenlight Capital Inc","FIRST TR EXCHANGE-TRADED FD",34,33733E807,1421936,0.0694
"Greenlight Capital Inc","INVESCO ACTVELY MNGD ETC FD",35,46090F100,1289967,0.0630
"Greenlight Capital Inc","TALIS BIOMEDICAL CORP",36,87424L207,1110437,0.0542
"Greenlight Capital Inc","NEUBASE THERAPEUTICS INC",37,64132K201,100912,0.0049
"Greenlight Capital Inc","NUVATION BIO INC",38,67080N119,58842,0.0029
"Greenlight Capital Inc","KATAPULT HOLDINGS INC",39,485859110,1940,0.0001
