investor_name,issuer,rank,cusip,value,weight
"Lone Pine Capital LLC","META PLATFORMS INC",1,30303M102,1017184763,8.8001
"Lone Pine Capital LLC","AMAZON COM INC",2,023135106,830320041,7.1834
"Lone Pine Capital LLC","TAIWAN SEMICONDUCTOR MFG LTD",3,874039100,722584096,6.2514
"Lone Pine Capital LLC","MICROSOFT CORP",4,594918104,681312656,5.8943
"Lone Pine Capital LLC","SALESFORCE INC",5,79466L302,657752638,5.6905
"Lone Pine Capital LLC","PTC INC",6,69370C100,554004366,4.7929
"Lone Pine Capital LLC","BOOKING HOLDINGS INC",7,09857L108,540954597,4.6800
"Lone Pine Capital LLC","KKR & CO INC",8,48251W104,515829402,4.4626
"Lone Pine Capital LLC","BLOCK INC",9,852234103,510994907,4.4208
"Lone Pine Capital LLC","MASTERCARD INCORPORATED",10,57636Q104,469497943,4.0618
"Lone Pine Capital LLC","UNITEDHEALTH GROUP INC",11,91324P102,469172690,4.0590
"Lone Pine Capital LLC","INTUIT",12,461202103,467851831,4.0476
"Lone Pine Capital LLC","BATH & BODY WORKS INC",13,070830104,450973316,3.9015
"Lone Pine Capital LLC","DICKS SPORTING GOODS INC",14,253393102,429521625,3.7160
"Lone Pine Capital LLC","WORKDAY INC",15,98138H101,427304992,3.6968
"Lone Pine Capital LLC","LPL FINL HLDGS INC",16,50212V100,418846749,3.6236
"Lone Pine Capital LLC","ASML HOLDING N V",17,N07059210,325322702,2.8145
"Lone Pine Capital LLC","LIVE NATION ENTERTAINMENT IN",18,538034109,313119706,2.7089
"Lone Pine Capital LLC","HDFC BANK LTD",19,40415F101,311628037,2.6960
"Lone Pine Capital LLC","BLACKSTONE INC",20,09260D107,290514491,2.5134
"Lone Pine Capital LLC","ICICI BANK LIMITED",21,45104G104,287087550,2.4837
"Lone Pine Capital LLC","PHILIP MORRIS INTL INC",22,718172109,282784817,2.4465
"Lone Pine Capital LLC","GENERAL ELECTRIC CO",23,369604301,268518843,2.3231
"Lone Pine Capital LLC","EPAM SYS INC",24,29414B104,252816308,2.1872
"Lone Pine Capital LLC","AVIDXCHANGE HOLDINGS INC",25,05368X102,62949030,0.5446
