investor_name,issuer,rank,cusip,value,weight
"Third Point LLC","PG&E CORP",1,69331C108,1043215800,15.7154
"Third Point LLC","MICROSOFT CORP",2,594918104,757720600,11.4146
"Third Point LLC","AMAZON COM INC",3,023135106,638148000,9.6133
"Third Point LLC","BATH & BODY WORKS INC",4,070830104,597766000,9.0050
"Third Point LLC","DANAHER CORPORATION",5,235851102,474247000,7.1442
"Third Point LLC","META PLATFORMS INC",6,30303M102,410593600,6.1853
"Third Point LLC","UNITED STATES STL CORP NEW",7,912909108,267575000,4.0308
"Third Point LLC","DUPONT DE NEMOURS INC",8,26614N102,266562450,4.0156
"Third Point LLC","AMERICAN INTL GROUP INC",9,026874784,233737500,3.5211
"Third Point LLC","JACOBS SOLUTIONS INC",10,46982L108,227150000,3.4219
"Third Point LLC","FERGUSON PLC NEW",11,G3421J106,210446300,3.1702
"Third Point LLC","VISTRA CORP",12,92840M102,177192000,2.6693
"Third Point LLC","FLEETCOR TECHNOLOGIES INC",13,339041105,173805150,2.6183
"Third Point LLC","VERIZON COMMUNICATIONS INC",14,92343V104,173324690,2.6110
"Third Point LLC","INTERNATIONAL FLAVORS&FRAGRA",15,459506101,166798200,2.5127
"Third Point LLC","APOLLO GLOBAL MGMT INC",16,03769M304,134622000,2.0280
"Third Point LLC","TAIWAN SEMICONDUCTOR MFG LTD",17,874039100,122200000,1.8409
"Third Point LLC","INTERCONTINENTAL EXCHANGE IN",18,45866F104,89901000,1.3543
"Third Point LLC","WESCO INTL INC",19,95082P105,86940000,1.3097
"Third Point LLC","MCKESSON CORP",20,58155Q103,76391700,1.1508
"Third Point LLC","EQT CORP",21,26884L109,75387000,1.1357
"Third Point LLC","UBER TECHNOLOGIES INC",22,90353T100,61570000,0.9275
"Third Point LLC","GLOBAL BLUE GROUP HOLDING AG",23,H33700107,39766553,0.5991
"Third Point LLC","TELEPHONE & DATA SYS INC",24,879433829,39210867,0.5907
"Third Point LLC","BIOMARIN PHARMACEUTICAL INC",25,09061G101,37121700,0.5592
"Third Point LLC","UNITED STATES CELLULAR CORP",26,911684108,22653590,0.3413
"Third Point LLC","HERTZ GLOBAL HLDGS INC",27,42806J148,21755600,0.3277
"Third Point LLC","FLYEXCLUSIVE INC",28,343928107,5701850,0.0859
"Third Point LLC","AURORA INNOVATION INC",29,051774107,5411013,0.0815
"Third Point LLC","NET POWER INC",30,64107A113,1100000,0.0166
"Third Point LLC","TMC THE METALS COMPANY INC",31,87261Y114,126500,0.0019
"Third Point LLC","JAWS MUSTANG ACQUISITION COR",32,G50737124,39700,0.0006
"Third Point LLC","SOCIAL LEVERAGE ACQUISN CORP",33,83363K110,4800,0.0001
